ds,yhat,yhat_lower,yhat_upper
2024-03-04,1451.9299472978732,1414.1830807802621,1490.2182168411307
2024-03-05,1446.5863698150852,1409.370297292231,1487.194828346997
2024-03-06,1447.7856458841775,1409.7289094535777,1482.968947155802
2024-03-07,1447.661053222332,1410.0820444843816,1486.301020581047
2024-03-11,1451.46774815354,1415.5101122166004,1490.4981756466848
2024-03-12,1446.124170670752,1405.827814407022,1485.638702630449
2024-03-13,1447.3234467398513,1410.5582338283493,1484.7410402991673
2024-03-14,1447.1988540780037,1412.2853724080826,1485.7457050749013
2024-03-15,1448.908744288944,1409.030043470401,1484.51011426493
2024-03-18,1451.005549009224,1412.6399907902621,1488.8099645127472
2024-03-19,1445.6619675715306,1408.5271336454412,1482.5088014994378
2024-03-20,1446.8612396857447,1406.6626045853343,1482.4003464136124
2024-03-21,1446.7366430689983,1407.5337265552562,1482.844379825199
2024-03-22,1448.4465293250528,1409.0471736692182,1484.3691530774968
2024-03-26,1445.1997407429649,1410.4222274451379,1483.5859403062007
2024-03-27,1446.399012857182,1408.4771178995743,1483.9723764722714
2024-03-28,1446.274416240445,1407.6163848875126,1481.9233654341722
2024-04-01,1450.0810953520925,1413.234176117775,1489.307520268434
2024-04-02,1444.7375139144117,1409.733927495088,1481.5228993322323
2024-04-03,1445.9367860286209,1408.8008071247916,1483.4700236499498
2024-04-04,1445.812189411878,1407.4801761246383,1484.766398667235
2024-04-05,1447.5220756679187,1411.3782166731262,1485.6318950065927
2024-04-08,1449.6188685235281,1413.9568804075407,1486.830542585559
2024-04-09,1444.2752870858487,1407.4630866929556,1480.0997626643896
2024-04-10,1445.4745592000534,1409.1471096935397,1483.9341723761504
2024-04-12,1447.0598488393568,1411.1087310091193,1486.4813627631618
2024-04-15,1449.156641421514,1412.7663144595126,1487.075433323298
2024-04-16,1443.8130598926878,1410.6059935950354,1481.4814629430655
2024-04-18,1444.8877352078553,1406.541992158231,1483.8617736226693
2024-04-19,1446.5976213727392,1406.6493736129719,1486.1015411882533
2024-04-22,1448.6944139549023,1411.9414144014845,1488.4097807319347
2024-04-23,1443.3508324260765,1407.2410756964528,1481.1298387961265
2024-04-24,1444.5501044491396,1407.0456481859,1481.1692518363802
2024-04-25,1444.4255077412386,1410.872926960696,1480.152225597344
2024-04-26,1446.135393906138,1409.4827873885158,1485.9168932076925
2024-04-29,1448.232186488309,1411.1142735740996,1485.9035015093136
2024-04-30,1442.888604959475,1407.6198524645474,1482.1822546486549
2024-05-02,1443.9632802746394,1408.8629131672149,1482.4775310967248
2024-05-03,1445.6731664395234,1410.1023654870244,1484.3826719975955
2024-05-06,1447.769959021697,1407.0238969760258,1483.7141778186112
2024-05-07,1442.4263774928636,1405.835995853385,1481.605190441173
2024-05-08,1444.2966614492839,1406.105105109925,1482.493935750901
2024-05-09,1444.8430766747497,1404.2406622805956,1481.524574580117
2024-05-10,1447.2239747730064,1410.6504839889124,1485.5187930957602
2024-05-13,1451.3338031552557,1414.3984743067365,1487.8367950118845
2024-05-14,1446.661233559787,1410.4726340833117,1484.1394629428771
2024-05-15,1448.5315175162098,1412.2938408461946,1485.701600869404
2024-05-16,1449.0779327416762,1411.3527555090013,1488.8493221142824
2024-05-17,1451.4588308399354,1415.254893019464,1488.266973671052
2024-05-21,1450.896089626706,1415.149149256265,1486.8073308804928
2024-05-22,1452.7663735831281,1418.6900222613297,1492.157959986097
2024-05-23,1453.312788808594,1412.9516701416057,1488.412767457029
2024-05-24,1455.6936869068506,1419.0398060951054,1494.1257288327747
2024-05-27,1459.80351528911,1422.3502960807616,1493.6943509872926
2024-05-28,1455.1309456936249,1419.474423679592,1493.9572146501914
2024-05-29,1457.0012296500545,1421.376693952644,1494.224458802383
